P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.38513333,0.31258333,0.30228335,1,1.1,999999,0,0,0,0,0,0.01,10000,500
0.37278333,0.32718334,0.30003333,1,1.1,999999,0,2,0,0,0,0.01,10000,500
0.37626666,0.32671666,0.29701668,1,1.1,999999,0,4,0,0,0,0.01,10000,500
0.38153332,0.33113334,0.28733334,1,1.1,999999,0,6,0,0,0,0.01,10000,500
0.36606666,0.34236667,0.29156667,1,1.1,999999,0,8,0,0,0,0.01,10000,500
0.36383334,0.34538335,0.29078335,1,1.1,999999,0,10,0,0,0,0.01,10000,500
0.36983332,0.34858334,0.28158334,1,1.1,999999,0,12,0,0,0,0.01,10000,500
0.36851665,0.34616667,0.28531668,1,1.1,999999,0,14,0,0,0,0.01,10000,500
0.36666667,0.34411666,0.28921667,1,1.1,999999,0,16,0,0,0,0.01,10000,500
0.36745,0.34945,0.2831,1,1.1,999999,0,18,0,0,0,0.01,10000,500
0.35416666,0.35426667,0.29156667,1,1.1,999999,0,20,0,0,0,0.01,10000,500
0.37708333,0.31093332,0.31198335,1,1.1,999999,2,0,0,0,0,0.01,10000,500
0.38011667,0.31066668,0.30921668,1,1.1,999999,2,2,0,0,0,0.01,10000,500
0.36131668,0.32116666,0.31751665,1,1.1,999999,2,4,0,0,0,0.01,10000,500
0.37666667,0.32041666,0.30291668,1,1.1,999999,2,6,0,0,0,0.01,10000,500
0.37508333,0.32108334,0.30383334,1,1.1,999999,2,8,0,0,0,0.01,10000,500
0.35905,0.3459,0.29505,1,1.1,999999,2,10,0,0,0,0.01,10000,500
0.35883334,0.33528334,0.30588335,1,1.1,999999,2,12,0,0,0,0.01,10000,500
0.37408334,0.34133333,0.28458333,1,1.1,999999,2,14,0,0,0,0.01,10000,500
0.37183332,0.33718333,0.29098332,1,1.1,999999,2,16,0,0,0,0.01,10000,500
0.36653334,0.34093332,0.29253334,1,1.1,999999,2,18,0,0,0,0.01,10000,500
0.36323333,0.34483334,0.29193333,1,1.1,999999,2,20,0,0,0,0.01,10000,500
0.36138332,0.30038333,0.33823332,1,1.1,999999,4,0,0,0,0,0.01,10000,500
0.37195,0.313,0.31505,1,1.1,999999,4,2,0,0,0,0.01,10000,500
0.36898333,0.31963333,0.31138334,1,1.1,999999,4,4,0,0,0,0.01,10000,500
0.3687,0.3238,0.3075,1,1.1,999999,4,6,0,0,0,0.01,10000,500
0.36576667,0.32786667,0.30636665,1,1.1,999999,4,8,0,0,0,0.01,10000,500
0.36973333,0.32403332,0.30623335,1,1.1,999999,4,10,0,0,0,0.01,10000,500
0.3594,0.33095,0.30965,1,1.1,999999,4,12,0,0,0,0.01,10000,500
0.36408332,0.32983333,0.30608332,1,1.1,999999,4,14,0,0,0,0.01,10000,500
0.37106666,0.33581668,0.29311666,1,1.1,999999,4,16,0,0,0,0.01,10000,500
0.37071666,0.33246666,0.29681668,1,1.1,999999,4,18,0,0,0,0.01,10000,500
