P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.3236,0.3373,0.3391,1,1.01,999999,10,10,0,0,0,0.01,10000,500
0.32343334,0.34733334,0.32923332,1,1.01,999999,10,12,0,0,0,0.01,10000,500
0.32063332,0.34673333,0.33263335,1,1.01,999999,10,14,0,0,0,0.01,10000,500
0.32375,0.35185,0.3244,1,1.01,999999,10,16,0,0,0,0.01,10000,500
0.31296667,0.34776667,0.33926666,1,1.01,999999,10,18,0,0,0,0.01,10000,500
0.31818333,0.35208333,0.32973334,1,1.01,999999,10,20,0,0,0,0.01,10000,500
0.31673333,0.31648332,0.36678332,1,1.01,999999,12,0,0,0,0,0.01,10000,500
0.31086665,0.32306665,0.36606666,1,1.01,999999,12,2,0,0,0,0.01,10000,500
0.32421666,0.31386667,0.36191666,1,1.01,999999,12,4,0,0,0,0.01,10000,500
0.31528333,0.33653334,0.34818333,1,1.01,999999,12,6,0,0,0,0.01,10000,500
0.31928334,0.33933333,0.34138334,1,1.01,999999,12,8,0,0,0,0.01,10000,500
0.31956667,0.34041667,0.34001666,1,1.01,999999,12,10,0,0,0,0.01,10000,500
0.31118333,0.35398334,0.33483332,1,1.01,999999,12,12,0,0,0,0.01,10000,500
0.30845,0.34265,0.3489,1,1.01,999999,12,14,0,0,0,0.01,10000,500
0.31255,0.34965,0.3378,1,1.01,999999,12,16,0,0,0,0.01,10000,500
0.31233335,0.35173333,0.33593333,1,1.01,999999,12,18,0,0,0,0.01,10000,500
0.30743334,0.35528332,0.33728334,1,1.01,999999,12,20,0,0,0,0.01,10000,500
0.32165,0.299,0.37935,1,1.01,999999,14,0,0,0,0,0.01,10000,500
0.3174,0.31645,0.36615,1,1.01,999999,14,2,0,0,0,0.01,10000,500
0.3188,0.3228,0.3584,1,1.01,999999,14,4,0,0,0,0.01,10000,500
0.3199,0.32515,0.35495,1,1.01,999999,14,6,0,0,0,0.01,10000,500
0.31748334,0.33188334,0.35063332,1,1.01,999999,14,8,0,0,0,0.01,10000,500
0.30778334,0.33898333,0.35323334,1,1.01,999999,14,10,0,0,0,0.01,10000,500
0.30946666,0.34426665,0.34626666,1,1.01,999999,14,12,0,0,0,0.01,10000,500
0.32313332,0.34048334,0.33638334,1,1.01,999999,14,14,0,0,0,0.01,10000,500
0.32198334,0.33773333,0.34028333,1,1.01,999999,14,16,0,0,0,0.01,10000,500
0.31775,0.34935,0.3329,1,1.01,999999,14,18,0,0,0,0.01,10000,500
0.31176665,0.35331666,0.33491668,1,1.01,999999,14,20,0,0,0,0.01,10000,500
0.31275,0.30725,0.38,1,1.01,999999,16,0,0,0,0,0.01,10000,500
0.32165,0.31825,0.3601,1,1.01,999999,16,2,0,0,0,0.01,10000,500
0.3117,0.3204,0.3679,1,1.01,999999,16,4,0,0,0,0.01,10000,500
0.3114,0.3312,0.3574,1,1.01,999999,16,6,0,0,0,0.01,10000,500
0.31005,0.3327,0.35725,1,1.01,999999,16,8,0,0,0,0.01,10000,500
0.31286666,0.34411666,0.34301665,1,1.01,999999,16,10,0,0,0,0.01,10000,500
