P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33228335,0.33323333,0.33448333,1,1.01,999999,0,0,0,0,0,0.01,10000,500
0.33091667,0.33851665,0.33056667,1,1.01,999999,1,1,1,1,0,0.01,10000,500
0.34633332,0.32973334,0.32393333,1,1.01,999999,2,2,2,2,0,0.01,10000,500
0.34033334,0.32853332,0.33113334,1,1.01,999999,3,3,3,3,0,0.01,10000,500
0.33623335,0.32788333,0.33588332,1,1.01,999999,4,4,4,4,0,0.01,10000,500
0.33686668,0.33091667,0.33221668,1,1.01,999999,5,5,5,5,0,0.01,10000,500
0.34058332,0.32698333,0.33243334,1,1.01,999999,6,6,6,6,0,0.01,10000,500
0.34691668,0.32711667,0.32596666,1,1.01,999999,7,7,7,7,0,0.01,10000,500
0.3396,0.3233,0.3371,1,1.01,999999,8,8,8,8,0,0.01,10000,500
0.33778334,0.33098334,0.33123332,1,1.01,999999,9,9,9,9,0,0.01,10000,500
0.34,0.32925,0.33075,1,1.01,999999,10,10,10,10,0,0.01,10000,500
0.338,0.32715,0.33485,1,1.01,999999,11,11,11,11,0,0.01,10000,500
0.34156665,0.33231667,0.32611668,1,1.01,999999,12,12,12,12,0,0.01,10000,500
0.33465,0.327,0.33835,1,1.01,999999,13,13,13,13,0,0.01,10000,500
0.3346,0.33405,0.33135,1,1.01,999999,14,14,14,14,0,0.01,10000,500
0.34058332,0.33173335,0.32768333,1,1.01,999999,15,15,15,15,0,0.01,10000,500
0.3369,0.32965,0.33345,1,1.01,999999,16,16,16,16,0,0.01,10000,500
0.34468332,0.32633334,0.32898334,1,1.01,999999,17,17,17,17,0,0.01,10000,500
0.34313333,0.32518333,0.33168334,1,1.01,999999,18,18,18,18,0,0.01,10000,500
0.33875,0.33355,0.3277,1,1.01,999999,19,19,19,19,0,0.01,10000,500
0.33936667,0.32296667,0.33766666,1,1.01,999999,20,20,20,20,0,0.01,10000,500
