P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.340055,0.331855,0.32809,1,1.01,999999,0,0,0,0,0,0.01,100000,500
0.33907,0.33149,0.32944,1,1.01,999999,1,1,1,1,0,0.01,100000,500
0.338305,0.332035,0.32966,1,1.01,999999,2,2,2,2,0,0.01,100000,500
0.33823165,0.33104166,0.33072665,1,1.01,999999,3,3,3,3,0,0.01,100000,500
0.337735,0.332555,0.32971,1,1.01,999999,4,4,4,4,0,0.01,100000,500
0.3389,0.33067,0.33043,1,1.01,999999,5,5,5,5,0,0.01,100000,500
0.34046167,0.33144668,0.32809168,1,1.01,999999,6,6,6,6,0,0.01,100000,500
0.33747,0.331845,0.330685,1,1.01,999999,7,7,7,7,0,0.01,100000,500
0.33792666,0.32934666,0.33272666,1,1.01,999999,8,8,8,8,0,0.01,100000,500
0.33687666,0.33140168,0.33172166,1,1.01,999999,9,9,9,9,0,0.01,100000,500
0.338475,0.330785,0.33074,1,1.01,999999,10,10,10,10,0,0.01,100000,500
0.34070334,0.33086833,0.32842833,1,1.01,999999,11,11,11,11,0,0.01,100000,500
0.34185,0.328245,0.329905,1,1.01,999999,12,12,12,12,0,0.01,100000,500
0.34016666,0.32885167,0.33098167,1,1.01,999999,13,13,13,13,0,0.01,100000,500
0.33926833,0.32998332,0.33074832,1,1.01,999999,14,14,14,14,0,0.01,100000,500
0.34173667,0.32908666,0.32917666,1,1.01,999999,15,15,15,15,0,0.01,100000,500
0.33985832,0.33051333,0.32962832,1,1.01,999999,16,16,16,16,0,0.01,100000,500
0.33945334,0.32904834,0.33149832,1,1.01,999999,17,17,17,17,0,0.01,100000,500
0.339025,0.332495,0.32848,1,1.01,999999,18,18,18,18,0,0.01,100000,500
0.34050667,0.33085668,0.32863668,1,1.01,999999,19,19,19,19,0,0.01,100000,500
0.339465,0.329875,0.33066,1,1.01,999999,20,20,20,20,0,0.01,100000,500
